outcome,followup,beta,ci_low,ci_high,p_value,q_global,scale,classification
HOMA-IR,3 months,-0.32397581358923605,-0.5032841848871956,-0.14466744229127648,0.0003980944419784122,0.0014928541574190457,log,Persistent through 6 months
HOMA-IR,6 months,-0.5236236081491965,-0.7058237722714525,-0.34142344402694047,1.7727775926697696e-08,2.1273331112037235e-07,log,Persistent through 6 months
Insulin,3 months,-0.344847242296463,-0.5483527086388775,-0.14134177595404857,0.0008960250196974946,0.0029867500656583154,log,Persistent through 6 months
Insulin,6 months,-0.5294614733044344,-0.7362102678818491,-0.3227126787270197,5.184670833992347e-07,3.88850312549426e-06,log,Persistent through 6 months
LDL-C,3 months,-0.6235294117647056,-1.1111390466343751,-0.13591977689503593,0.012198675756341643,0.038522133967394664,mmol/L,Partially sustained
LDL-C,6 months,-0.6042936275241055,-1.0990475022953303,-0.10953975275288086,0.016668069369366115,0.050004208108098344,mmol/L,Partially sustained
HDL-C,3 months,0.572058823529412,0.3266506729777502,0.8174669740810737,4.903859916305404e-06,2.9423159497832425e-05,mmol/L,Not sustained
HDL-C,6 months,0.034056723027628244,-0.21497848973691677,0.2830919357921733,0.7886692133162502,0.8808958155011818,mmol/L,Not sustained
